Day,Location,Product,Planned_Shipment
1,Store_1,Product_1,8
1,Store_1,Product_2,10
1,Store_1,Product_3,8
1,Store_1,Product_4,7
1,Store_1,Product_5,7
1,Store_1,Product_6,13
1,Store_1,Product_7,12
1,Store_1,Product_8,11
1,Store_1,Product_9,10
1,Store_1,Product_10,14
1,Store_1,Product_11,7
1,Store_1,Product_12,11
1,Store_1,Product_13,7
1,Store_1,Product_14,2
1,Store_1,Product_15,6
1,Store_1,Product_16,14
1,Store_1,Product_17,1
1,Store_1,Product_18,7
1,Store_1,Product_19,11
1,Store_1,Product_20,8
1,Store_2,Product_1,1
1,Store_2,Product_2,5
1,Store_2,Product_3,15
1,Store_2,Product_4,12
1,Store_2,Product_5,6
1,Store_2,Product_6,12
1,Store_2,Product_7,7
1,Store_2,Product_8,7
1,Store_2,Product_9,12
1,Store_2,Product_10,11
1,Store_2,Product_11,9
1,Store_2,Product_12,9
1,Store_2,Product_13,11
1,Store_2,Product_14,10
1,Store_2,Product_15,10
1,Store_2,Product_16,12
1,Store_2,Product_17,9
1,Store_2,Product_18,16
1,Store_2,Product_19,14
1,Store_2,Product_20,9
1,Store_3,Product_1,8
1,Store_3,Product_2,12
1,Store_3,Product_3,5
1,Store_3,Product_4,10
1,Store_3,Product_5,2
1,Store_3,Product_6,12
1,Store_3,Product_7,6
1,Store_3,Product_8,15
1,Store_3,Product_9,10
1,Store_3,Product_10,11
1,Store_3,Product_11,8
1,Store_3,Product_12,3
1,Store_3,Product_13,10
1,Store_3,Product_14,11
1,Store_3,Product_15,9
1,Store_3,Product_16,8
1,Store_3,Product_17,7
1,Store_3,Product_18,5
1,Store_3,Product_19,1
1,Store_3,Product_20,11
1,Store_4,Product_1,8
1,Store_4,Product_2,8
1,Store_4,Product_3,4
1,Store_4,Product_4,12
1,Store_4,Product_5,6
1,Store_4,Product_6,7
1,Store_4,Product_7,12
1,Store_4,Product_8,12
1,Store_4,Product_9,11
1,Store_4,Product_10,7
1,Store_4,Product_11,13
1,Store_4,Product_12,3
1,Store_4,Product_13,1
1,Store_4,Product_14,5
1,Store_4,Product_15,10
1,Store_4,Product_16,3
1,Store_4,Product_17,11
1,Store_4,Product_18,3
1,Store_4,Product_19,11
1,Store_4,Product_20,14
1,Store_5,Product_1,6
1,Store_5,Product_2,11
1,Store_5,Product_3,11
1,Store_5,Product_4,11
1,Store_5,Product_5,15
1,Store_5,Product_6,4
1,Store_5,Product_7,12
1,Store_5,Product_8,8
1,Store_5,Product_9,8
1,Store_5,Product_10,12
1,Store_5,Product_11,14
1,Store_5,Product_12,13
1,Store_5,Product_13,9
1,Store_5,Product_14,13
1,Store_5,Product_15,9
1,Store_5,Product_16,13
1,Store_5,Product_17,15
1,Store_5,Product_18,13
1,Store_5,Product_19,15
1,Store_5,Product_20,5
1,Store_6,Product_1,11
1,Store_6,Product_2,9
1,Store_6,Product_3,8
1,Store_6,Product_4,13
1,Store_6,Product_5,10
1,Store_6,Product_6,10
1,Store_6,Product_7,15
1,Store_6,Product_8,5
1,Store_6,Product_9,13
1,Store_6,Product_10,5
1,Store_6,Product_11,8
1,Store_6,Product_12,13
1,Store_6,Product_13,0
1,Store_6,Product_14,7
1,Store_6,Product_15,13
1,Store_6,Product_16,5
1,Store_6,Product_17,10
1,Store_6,Product_18,15
1,Store_6,Product_19,7
1,Store_6,Product_20,10
1,Store_7,Product_1,5
1,Store_7,Product_2,11
1,Store_7,Product_3,4
1,Store_7,Product_4,14
1,Store_7,Product_5,18
1,Store_7,Product_6,6
1,Store_7,Product_7,15
1,Store_7,Product_8,10
1,Store_7,Product_9,11
1,Store_7,Product_10,11
1,Store_7,Product_11,15
1,Store_7,Product_12,15
1,Store_7,Product_13,11
1,Store_7,Product_14,7
1,Store_7,Product_15,8
1,Store_7,Product_16,10
1,Store_7,Product_17,13
1,Store_7,Product_18,12
1,Store_7,Product_19,14
1,Store_7,Product_20,6
1,Store_8,Product_1,10
1,Store_8,Product_2,8
1,Store_8,Product_3,10
1,Store_8,Product_4,7
1,Store_8,Product_5,11
1,Store_8,Product_6,2
1,Store_8,Product_7,0
1,Store_8,Product_8,4
1,Store_8,Product_9,13
1,Store_8,Product_10,13
1,Store_8,Product_11,9
1,Store_8,Product_12,8
1,Store_8,Product_13,7
1,Store_8,Product_14,11
1,Store_8,Product_15,9
1,Store_8,Product_16,8
1,Store_8,Product_17,13
1,Store_8,Product_18,17
1,Store_8,Product_19,16
1,Store_8,Product_20,7
1,Store_9,Product_1,8
1,Store_9,Product_2,7
1,Store_9,Product_3,3
1,Store_9,Product_4,6
1,Store_9,Product_5,11
1,Store_9,Product_6,10
1,Store_9,Product_7,6
1,Store_9,Product_8,2
1,Store_9,Product_9,8
1,Store_9,Product_10,5
1,Store_9,Product_11,10
1,Store_9,Product_12,9
1,Store_9,Product_13,12
1,Store_9,Product_14,13
1,Store_9,Product_15,5
1,Store_9,Product_16,15
1,Store_9,Product_17,8
1,Store_9,Product_18,12
1,Store_9,Product_19,7
1,Store_9,Product_20,10
1,Store_10,Product_1,5
1,Store_10,Product_2,12
1,Store_10,Product_3,7
1,Store_10,Product_4,15
1,Store_10,Product_5,10
1,Store_10,Product_6,9
1,Store_10,Product_7,7
1,Store_10,Product_8,9
1,Store_10,Product_9,8
1,Store_10,Product_10,8
1,Store_10,Product_11,10
1,Store_10,Product_12,10
1,Store_10,Product_13,0
1,Store_10,Product_14,6
1,Store_10,Product_15,9
1,Store_10,Product_16,11
1,Store_10,Product_17,2
1,Store_10,Product_18,6
1,Store_10,Product_19,6
1,Store_10,Product_20,8
1,Online Platform,Product_1,15
1,Online Platform,Product_2,10
1,Online Platform,Product_3,7
1,Online Platform,Product_4,10
1,Online Platform,Product_5,8
